Subject,Session,Run,State,Fractional occupancy (%),Dwell time (s)
11,LSD,2,1,26.26728110599078,8.76923076923077
11,LSD,2,2,25.806451612903224,5.894736842105263
11,LSD,2,3,27.188940092165897,7.375
11,LSD,2,4,20.737327188940093,5.294117647058823
0,PLCB,3,1,19.81566820276498,7.818181818181818
0,PLCB,3,2,32.25806451612903,7.0
0,PLCB,3,3,17.51152073732719,6.909090909090909
0,PLCB,3,4,30.414746543778804,7.764705882352941
1,PLCB,3,1,25.34562211981567,6.875
1,PLCB,3,2,23.502304147465438,5.368421052631579
1,PLCB,3,3,22.58064516129032,6.125
1,PLCB,3,4,28.57142857142857,5.904761904761905
2,PLCB,3,1,21.658986175115206,6.714285714285714
2,PLCB,3,2,27.64976958525346,6.0
2,PLCB,3,3,20.276497695852534,6.769230769230769
2,PLCB,3,4,30.414746543778804,7.764705882352941
3,PLCB,3,1,26.72811059907834,6.105263157894737
3,PLCB,3,2,20.737327188940093,5.0
3,PLCB,3,3,24.42396313364055,7.066666666666666
3,PLCB,3,4,28.110599078341014,5.809523809523809
4,PLCB,3,1,24.42396313364055,7.066666666666666
4,PLCB,3,2,24.88479262672811,5.684210526315789
4,PLCB,3,3,27.64976958525346,7.5
4,PLCB,3,4,23.04147465437788,5.2631578947368425
5,PLCB,3,1,23.963133640552993,7.428571428571429
5,PLCB,3,2,23.963133640552993,6.117647058823529
5,PLCB,3,3,21.19815668202765,8.363636363636363
5,PLCB,3,4,30.87557603686636,6.380952380952381
6,PLCB,3,1,23.04147465437788,7.6923076923076925
6,PLCB,3,2,27.188940092165897,6.555555555555555
6,PLCB,3,3,23.963133640552993,8.0
6,PLCB,3,4,25.806451612903224,6.588235294117647
7,PLCB,3,1,11.52073732718894,5.555555555555555
7,PLCB,3,2,38.70967741935484,11.2
7,PLCB,3,3,15.668202764976957,6.8
7,PLCB,3,4,34.10138248847927,8.705882352941176
8,PLCB,3,1,32.25806451612903,8.75
8,PLCB,3,2,21.658986175115206,4.947368421052632
8,PLCB,3,3,29.493087557603687,9.142857142857142
8,PLCB,3,4,16.589861751152075,5.142857142857143
9,PLCB,3,1,17.972350230414747,6.0
9,PLCB,3,2,38.24884792626728,7.217391304347826
9,PLCB,3,3,13.36405529953917,7.25
9,PLCB,3,4,30.414746543778804,6.6
10,PLCB,3,1,23.04147465437788,5.882352941176471
10,PLCB,3,2,26.72811059907834,6.444444444444445
10,PLCB,3,3,17.51152073732719,6.333333333333333
10,PLCB,3,4,32.71889400921659,6.454545454545454
11,PLCB,3,1,21.19815668202765,7.666666666666667
11,PLCB,3,2,31.336405529953915,7.157894736842105
11,PLCB,3,3,18.89400921658986,7.454545454545454
11,PLCB,3,4,28.57142857142857,6.526315789473684
12,PLCB,3,1,23.963133640552993,6.933333333333334
12,PLCB,3,2,29.493087557603687,7.111111111111111
12,PLCB,3,3,20.737327188940093,5.625
12,PLCB,3,4,25.806451612903224,4.666666666666667
13,PLCB,3,1,24.88479262672811,9.818181818181818
13,PLCB,3,2,26.26728110599078,6.705882352941177
13,PLCB,3,3,24.42396313364055,8.153846153846153
13,PLCB,3,4,24.42396313364055,7.571428571428571
14,PLCB,3,1,21.19815668202765,7.666666666666667
14,PLCB,3,2,30.87557603686636,6.380952380952381
14,PLCB,3,3,21.19815668202765,6.571428571428571
14,PLCB,3,4,26.72811059907834,5.8
0,LSD,3,1,19.35483870967742,5.6
0,LSD,3,2,26.72811059907834,5.523809523809524
0,LSD,3,3,20.276497695852534,6.285714285714286
0,LSD,3,4,33.6405529953917,7.3
1,LSD,3,1,25.806451612903224,8.615384615384615
1,LSD,3,2,22.58064516129032,6.125
1,LSD,3,3,29.953917050691242,7.647058823529412
1,LSD,3,4,21.658986175115206,4.947368421052632
2,LSD,3,1,23.963133640552993,8.0
2,LSD,3,2,29.493087557603687,6.7368421052631575
2,LSD,3,3,18.433179723502306,6.153846153846154
2,LSD,3,4,28.110599078341014,6.777777777777778
3,LSD,3,1,25.806451612903224,5.894736842105263
3,LSD,3,2,23.963133640552993,4.9523809523809526
3,LSD,3,3,22.58064516129032,5.764705882352941
3,LSD,3,4,27.64976958525346,4.8
4,LSD,3,1,20.737327188940093,5.625
4,LSD,3,2,39.1705069124424,7.083333333333333
4,LSD,3,3,19.35483870967742,6.0
4,LSD,3,4,20.737327188940093,5.0
5,LSD,3,1,25.34562211981567,7.857142857142857
5,LSD,3,2,29.493087557603687,7.111111111111111
5,LSD,3,3,23.04147465437788,7.142857142857143
5,LSD,3,4,22.119815668202765,5.647058823529412
6,LSD,3,1,22.58064516129032,7.538461538461538
6,LSD,3,2,25.34562211981567,6.111111111111111
6,LSD,3,3,21.19815668202765,6.571428571428571
6,LSD,3,4,30.87557603686636,7.052631578947368
7,LSD,3,1,20.276497695852534,6.285714285714286
7,LSD,3,2,30.87557603686636,6.7
7,LSD,3,3,21.658986175115206,5.875
7,LSD,3,4,27.188940092165897,5.9
8,LSD,3,1,28.110599078341014,7.176470588235294
8,LSD,3,2,23.04147465437788,5.0
8,LSD,3,3,26.26728110599078,6.705882352941177
8,LSD,3,4,22.58064516129032,4.260869565217392
9,LSD,3,1,23.04147465437788,9.090909090909092
9,LSD,3,2,30.87557603686636,9.571428571428571
9,LSD,3,3,21.19815668202765,7.076923076923077
9,LSD,3,4,24.88479262672811,5.4
10,LSD,3,1,25.34562211981567,8.461538461538462
10,LSD,3,2,26.26728110599078,6.333333333333333
10,LSD,3,3,19.81566820276498,7.166666666666667
10,LSD,3,4,28.57142857142857,6.888888888888889
11,LSD,3,1,23.04147465437788,9.090909090909092
11,LSD,3,2,25.806451612903224,5.6
11,LSD,3,3,22.119815668202765,8.0
11,LSD,3,4,29.03225806451613,5.478260869565218
12,LSD,3,1,18.89400921658986,7.454545454545454
12,LSD,3,2,30.87557603686636,6.7
